latin_script,arabic_script
AIT SAADI,آيت سعدي
FETATNIA,فطاطنية
DJEDAR,جدار
HEMIDJ,حميج
CHIEKH,شيخ
METIDJI,متيجي
GOUBER,قوبر
GOURECHE,قورش
KOUCHAH,كوشاح
OULD KOUNT,ولد كونت
KHIRI,خيري
KHERFANE,خرفان
AHMED ANIS,أحمد أنيس
AMIOUR,عميور
MAROUCHE,مروش
BAHADDI,بهادي
BERRADJ,براج
AFENAI,أفناي
ZOUANEB,زوانب
ACIL,عسيل
BOUNEKAR,بونقار
MELLOUK,ملوك
BENTRAT,بن طراط
ESSMINE,السمين
ZAHAR,زهار
OUHAMOU,أوحمو
TAHAR CHAOUCHE,طاهر شاوش
BOUHEDBA,بوحدبة
CHIAKH,شياخ
BOUBENNA,بوبنة
SLAMANI,سلماني
OUCHEKDID,أوشكديد
BOUKHEMISS,بوخميس
ZADI,زادي
LIMANI,ليماني
KENDEL,كندل
IFTENE,افتان
NEKKAB,نقاب
BENMAZA,بن مازا
BOURIF,بوريف
BOULKHEMAIR,بولخمير
BEKHSIS,بخسيس
TURKI,تركي
MAAFI,معافي
LATTAFI,لطافي
BENIRED,بنيرد
HADRACHE,حدراش
KLAI,كلاي
BENZOUAOUA,بنزواوة
CHERAD,شراد
DJEHAICHE,جحايش
TAIB,طيب
AFFIR,عفير
AMAR MANSOUR,عمار منصور
OUSSALAH,أوصلاح
BENDJENIDI,بنجنيدي
BENAZZOUG,بنعزوق
AKROUF,أكروف
MOULAIHCENE,مولاي حسن
BENMADANI,بنمداني
BENSAIDI,بن سعيدي
MAKOURA,ماكورة
GHAZIBAOUNE,غزيباون
BOUSSAADA,بوسعادة
MEHENNI,مهني
REGGAB,رقاب
OULD CHALL,ولد شل
ATI,عطي
RAMDA,رمضة
BELMEKKI,بلمكي
SEGHAIRIA,سغيرية
KHELALFA,خلالفة
ELEULMI,العلمي
BKHITI,بخيتي
INGRACHEN,إنقراشن
GUERINECHE,قرينش
BELLEBOUKH,بلبوخ
CHABANE CHAOUCHE,شعبان شاوش
BOULEAM,بولعام
ZOUAD,زواد
ALABSSI,العبسي
BOUZEBRA,بوزبرة
ABEDDOU,عبيدو
ASSAD,أسد
BELKACI,بلقاسي
GASRI,قاصري
BOUBOU,بوبو
OUHNIA,وهنية
EL HACEN,الحسن
SEKKOURI,السكوري
CHINOUNE,شينون
AMLIK,أمليك
BEZGHOUD,بزغود
IKARIOUANE,إيكاريوان
HAMSI,حمسي
BOULKEDRA,بولقدرة
BERICHI,بريشي
MEHALI,محالي
BOUSSAKOU,بوساقو
KRADOU,كرادو
MOSTAFAOIU,مصطفاوي
NEGHIZ,نغيز
CHEKHABA,شخابة
SOUFELLAH,صوف الله
TAYSSIR,تيسير
HENTOUT,هنتوت
TEMZI,تمزي
TERIAKI,ترياقي
EDDRIEF,الدريف
TIGUARFA,تيغوارفة
TALANTIKITE,تالانتيكيت
BOUADJADJA,بوعجاجة
FRIK,فريك
LADJEMIL,لاجميل
ATTICHE,عطيش
HEDDAR,حدار
MONIR,منير
MERABAI,مرابعي
HADIL,هديل
HAMMOU,حمو
BOUNDINE,بوندين
BELHANINI,بلحانيني
MOUDJAHED,مجاهد
BOUHERROU,بوحرو
FRAGA,فراقة
CHEBIHI,الشبيهي
FOUAL,فوال
DRICHI,دريشي
HANBLI,حنبلي
LAADJAL,لعجل
BETICHE,بتيش
CHELALOU,شلالو
BENSOULA,بنصولة
ABIDAT,عبيدات
HABBECHE,حبش
M'HAMDIA,محمدية
OURDJA,ورجة
BELGHAOUTI,بلغاوتي
AMMANI,عماني
AIROUR,عيرور
GUENFOUD,جنفود
TOUARES,توارس
ZATOUT,زطوط
MEBKHOUT,مبخوت
TIAB,طياب
HADJAR MERHOUNE,حجار مرهون
BELKHOUDIR,بلخوضير
GUEZOURI,قزوري
BOULGUEMAH,بولقماح
DRIF,دريف
KERMEZLI,كرمزلي
AGAD,أغاد
HADJYOUCEF,حاج يوسف
HABRACHE,هبراش
KERMALI,كرمالي
BOUGUENARA,بوقنارة
ABAIDI,عبيدي
GHANES,غانس
GUECHICHI,قشيشي
KADEM,قادم
MARAF,مراف
LEBIB,لبيب
BELMISSOUM,بلميسوم
FAR,فار
CHELIHI,شليحي
BOUASSEL,بوعسل
HADDADI,حدادي
YOUNES BOUACIDA,يونس بوعسيدة
KHEMOUDJ,خمودج
KISSOUM,كيسوم
MOULOUD,مولود
MALDJI,مالجي
MEGHEZZI,مغزي
ZIAM,زيام
BOURTOUCHE,بورتوش
MERABTENE,مرابطن
BOUKERROUCHA,بوكروشة
BOUSOUAR,بوسوار
CHOUAIB,شعيب
TATAH,طاطاح
TADJOURI,تاجوري
BASSI,باسي
CHELAL,شلال
AKOUIR,أكوير
BELABBES,بلعابس
AHMAN,أحمان
HOUNANE,هونان
KHELLAL,خلال
MANSSAR,منصار
ARABDJI,عرابجي
AICH,عيش
ABZAR,أبزار
SAASSAA,سعساع
BEN HENDA,بن هندة
MILI,ميلي
KHAMIS,خميس
IOUSSAIDENE,يوسايدن
MAKALA,مكالة
SLIFI,سليفي
BEN ZERROUK,بن زروق
KNAN,قنان
BIRA,بيرة
SSENDIKADIWA,صنديق الديوة
LARBA,العربة
LARFI,العرفي
KHABET DIT KAMEL,"خابط ديت كامل
FAREZ,FAREZ"
KECHEKOUL,كشكول
BELBOUAB,بلبواب
MEBARKI,مباركي
CHAHMANA,شاهمانة
KOUTTI,كوتي
BOUDEOUAOU,بودواو
FEZARI,فزاري
OMANI,عماني
BELOUAAR,بلوار
BENGUELLAZ,بن قلّاز
KOUITA,كويتة
LAMAMRA,العمامرة
ZERKA,زرقة
BELLAHDID,بلاحديد
BELAMATRAK,بلعماطراك
BOUDOUDA,بودودة
KACIAISSA,كاسعيسى
ZERDAOUI,زرداوي
ATTOUMI,عطومي
BRAHIMI,إبراهيمي
CHERGHAL,شرغال
TOUAHAR,تواهر
ABDELI,عبدلي
BOUR,بور
BELAOURA,بلعورة
NABI,نبي
TEMIMI,التميمي
NEKACHTALI,نكشتالي
BEBOUCHE,ببوش
KHETAH,ختاه
BOUBRIK,بوبريك
BENMOUMENE,بن مومن
BEGGACHE,بقاش
AISSANOU,عيسانو
GHEBOULI,غبولي
AYAT,أيات
AIT MOUHEB,أيت موهب
MENADLI,منادلي
BEN DAMARDJI,بن دمرجي
MELAAB,ملاّب
HEDEILI,هديلي
SEOUDI,سعودي
GUESSABI,قصابي
HACHIMI,حشيمي
MOHDEB,محضب
MATLOUS,مطلوس
ZERRAF,زراف
ATROUN,عطرون
MOUASSA,مواسة
KERMOUNE,كرمون
DAMARDJI,دمرجي
BENSOLTANE,بن سلطان
KEROUCHE,كروش
HACHEMAOUI,هاشماوي
BENAROUR,بن عروف
CHEBELAINE,شبلاين
BENSAID ZEMALL,بن سعيد زمال
HOURI,حوري
OUSSADA,أوسادة
BOULAL,بولال
HAOULI,هاولي
DEBZA,دبزة
BENDOU,بن دو
BOUDRELAL,بودرلال
MOUESSAH,موسى
ZOUGHLECHE,زغلش
MEHRAS,محراس
KABI,قابي
BELAGUIDA,بلقايدة
AGHROU,أغرو
KACI OUELHADJ,قاسي ولحاج
SAMER,سامر
BENZERROUK,بن زروق
BEN ADOUDA,بن عدودة
ROUACHI,رواشي
BENBAKHTI,بن بختي
SOUICI,سويسي
DANOUN,دانون
BENZIDOUN,بن زيدون
LAKHLEF,لخلف
SEDDOUKI,صدوقي
GUENFISSI,قنفيسي
KHALEM,خالم
KABICHE,قبيش
OTMANE CHERIF,عثمان شريف
TAOULECHE,تاولش
REGOUAT,رقوات
LARBI BOUAMRANE,العربي بوعمران
MOUCHENE,موشان
BOUTEBEL,بوطبل
ZERININI,زرينيني
BEKHETTOU,بختو
